creditCardId,cardType,cardNumber,expiryMonth,expiryYear
243,Distinguish,55554566989903,3,2007
244,SuperiorCard,33332518757403,7,2005
245,ColonialVoice,77776250555783,8,2008
246,SuperiorCard,33331574523505,3,2005
247,SuperiorCard,33334358455811,10,2005
248,Vista,11118545580995,9,2007
249,SuperiorCard,33333022881251,9,2006
250,ColonialVoice,77773099238780,2,2008
251,SuperiorCard,33337187139676,3,2008
252,SuperiorCard,33337077455871,8,2006
253,SuperiorCard,33331912505385,10,2005
254,Distinguish,55554276734483,11,2007
255,SuperiorCard,33333122092398,6,2006
256,Vista,11111578243413,12,2008
257,Vista,11112463732121,10,2006
258,ColonialVoice,77776185540781,6,2008
259,SuperiorCard,33338971372491,4,2008
260,SuperiorCard,33331806839744,7,2008
261,ColonialVoice,77773186672230,12,2008
262,SuperiorCard,33339710777722,4,2005
263,SuperiorCard,33333857621376,12,2006
264,Distinguish,55557055583187,6,2007
265,Distinguish,55552836814693,4,2007
266,ColonialVoice,77775631592757,1,2007
267,SuperiorCard,33331311168762,11,2005
268,SuperiorCard,33332211768137,2,2006
269,SuperiorCard,33337121705928,8,2007
270,SuperiorCard,33338784038789,7,2008
271,ColonialVoice,77772097663028,9,2006
272,SuperiorCard,33336884975462,8,2005
273,ColonialVoice,77774350037576,11,2006
274,Distinguish,55553286107663,9,2008
275,Distinguish,55555327654649,5,2008
276,SuperiorCard,33336128462841,12,2007
277,ColonialVoice,77779052030234,5,2005
278,Distinguish,55558803622808,9,2008
279,Vista,11116531194989,5,2006
280,Vista,11119478266157,6,2006
281,Distinguish,55551340489507,5,2006
282,ColonialVoice,77776406538214,12,2006
283,SuperiorCard,33339429165111,9,2005
284,SuperiorCard,33333582192961,4,2005
285,Distinguish,55553915166444,6,2008
286,ColonialVoice,77773615831491,8,2007
287,ColonialVoice,77774957386427,12,2006
288,SuperiorCard,33333339429635,6,2007
289,Distinguish,55558798543734,6,2008
290,SuperiorCard,33338430651749,7,2006
291,Distinguish,55556726374092,7,2007
292,Vista,11115248640937,5,2005
293,Vista,11111949366286,1,2007
294,Vista,11111418735493,3,2005
295,SuperiorCard,33335549151443,9,2007
296,SuperiorCard,33333589610564,10,2008
297,SuperiorCard,33333361325378,11,2005
298,ColonialVoice,77776298632346,10,2008
299,Distinguish,55551842980137,4,2006
300,Vista,11118661036033,5,2007
301,Distinguish,55558471257051,12,2006
302,SuperiorCard,33335006452683,4,2006
303,Vista,11119770104261,9,2005
304,ColonialVoice,77775921255907,4,2008
305,Distinguish,55552297689520,7,2005
306,Vista,11114534921033,8,2007
307,SuperiorCard,33331161840943,1,2006
308,SuperiorCard,33331460725625,6,2007
309,Vista,11117945717058,3,2007
310,Distinguish,55554029756638,11,2006
311,SuperiorCard,33335435900165,11,2006
312,SuperiorCard,33333463470760,3,2008
313,Distinguish,55558016579760,7,2007
314,ColonialVoice,77777527755354,1,2007
315,ColonialVoice,77772840648082,10,2008
316,ColonialVoice,77777479245209,12,2006
317,ColonialVoice,77775217016118,1,2007
318,SuperiorCard,33333795332504,12,2005
319,SuperiorCard,33333588055875,3,2008
320,Distinguish,55559136297933,9,2005
321,Vista,11115874925443,7,2005
322,Vista,11111465897576,12,2006
323,Distinguish,55556491880971,2,2007
324,SuperiorCard,33336623042951,2,2005
325,Vista,11113130199296,12,2007
326,Distinguish,55559209385215,7,2008
327,Distinguish,55552963103062,7,2008
328,SuperiorCard,33337184417741,10,2006
329,SuperiorCard,33333601842727,8,2008
330,Distinguish,55559400224010,2,2007
331,Distinguish,55558186928969,11,2006
332,SuperiorCard,33335351251421,6,2006
333,Distinguish,55559281360112,5,2005
334,Distinguish,55558268660616,6,2005
335,Distinguish,55551133073710,2,2005
336,SuperiorCard,33332970292118,7,2008
337,Vista,11114703000162,5,2007
338,ColonialVoice,77777663342481,9,2008
339,Distinguish,55559475880011,12,2008
340,Distinguish,55555375872116,10,2006
341,Vista,11114437847221,3,2005
342,ColonialVoice,77776266152345,1,2006
343,Vista,11115701454851,7,2008
344,Vista,11119674361490,9,2006
345,Vista,11118110021923,6,2008
346,SuperiorCard,33335534675723,3,2008
347,SuperiorCard,33337539270232,9,2005
348,Distinguish,55551813343426,11,2008
349,ColonialVoice,77772412583693,9,2007
350,ColonialVoice,77774617407824,5,2007
351,ColonialVoice,77776250422618,12,2007
352,Vista,11111038492177,5,2005
353,Vista,11113953531031,11,2008
354,SuperiorCard,33337208763627,6,2007
355,SuperiorCard,33336233008911,9,2008
356,Vista,11114068402158,10,2008
357,SuperiorCard,33339094840927,1,2008
358,SuperiorCard,33336454753250,11,2006
359,ColonialVoice,77776472904565,10,2008
360,ColonialVoice,77772894126334,7,2005
361,SuperiorCard,33333660692169,4,2007
362,Distinguish,55553141509249,3,2007
363,ColonialVoice,77775139403469,8,2006
364,Distinguish,55558521977541,9,2007
365,Vista,11113304959304,8,2005
366,Distinguish,55551373386979,6,2007
367,ColonialVoice,77771658774976,10,2006
368,SuperiorCard,33337996194943,8,2008
369,Distinguish,55558962653402,7,2008
370,Distinguish,55552920607882,10,2007
371,Vista,11111423384823,2,2006
372,Distinguish,55554640760212,6,2008
373,SuperiorCard,33336635791537,10,2008
374,Vista,11118111347101,2,2007
375,Distinguish,55556238588767,5,2005
376,SuperiorCard,33337864080360,7,2006
377,Vista,11112840822877,1,2005
378,Distinguish,55551023233383,4,2006
379,SuperiorCard,33339866323726,2,2008
380,ColonialVoice,77773081956952,1,2008
381,SuperiorCard,33333904253150,3,2006
382,Vista,11116204530793,5,2007
383,Vista,11111586263693,5,2006
384,ColonialVoice,77775243331802,8,2007
385,SuperiorCard,33337196614989,4,2005
386,SuperiorCard,33334561570452,6,2006
387,ColonialVoice,77774965490722,10,2006
388,Distinguish,55556406236712,2,2007
389,Distinguish,55552532138087,10,2005
390,Vista,11118753411058,7,2008
391,ColonialVoice,77772463833333,7,2005
392,Vista,11118562672576,5,2007
393,Vista,11111627148699,4,2006
394,Distinguish,55553008487911,6,2006
395,ColonialVoice,77771418781901,6,2006
396,SuperiorCard,33338589135498,2,2006
397,SuperiorCard,33338702777274,5,2006
398,SuperiorCard,33339957826041,8,2006
399,Vista,11118730511214,7,2006
400,Vista,11118201757324,6,2005
401,Distinguish,55557648719357,9,2007
402,ColonialVoice,77778707357207,11,2008
403,ColonialVoice,77775786670948,7,2008
404,SuperiorCard,33331106176532,3,2007
405,Distinguish,55558266354107,9,2006
406,SuperiorCard,33335217748519,1,2007
407,SuperiorCard,33335551916395,9,2005
408,Distinguish,55557158842836,11,2008
409,ColonialVoice,77775137357162,5,2008
410,SuperiorCard,33333509526283,5,2008
411,Distinguish,55554447610983,7,2005
412,SuperiorCard,33335082259833,8,2005
413,SuperiorCard,33331033535413,9,2008
414,Distinguish,55559538056514,1,2006
415,Distinguish,55558432859672,1,2005
416,Vista,11111082178644,1,2005
417,SuperiorCard,33332618411673,11,2006
418,ColonialVoice,77778332989405,7,2005
419,SuperiorCard,33331076984905,5,2005
420,Distinguish,55559570001876,5,2008
421,ColonialVoice,77779612128963,12,2006
422,ColonialVoice,77776996793043,1,2005
423,Vista,11117112577020,9,2007
424,SuperiorCard,33338284484471,4,2008
425,Distinguish,55556721176222,3,2008
426,ColonialVoice,77778120734237,10,2006
427,Distinguish,55555671830825,11,2006
428,Vista,11118509073610,1,2008
429,Vista,11113753448296,3,2008
430,Vista,11112967268286,12,2006
431,Distinguish,55551104697014,6,2007
432,Vista,11112271428752,11,2006
433,Distinguish,55558193114492,4,2008
434,Distinguish,55557834333264,3,2006
435,ColonialVoice,77776894282434,2,2008
436,Distinguish,55553348891821,1,2006
437,Vista,11111193733108,11,2008
438,Distinguish,55557080374180,12,2005
439,Vista,11114647899275,2,2006
440,ColonialVoice,77779666377448,2,2007
441,SuperiorCard,33333816093380,9,2006
442,Vista,11112618684802,7,2005
443,ColonialVoice,77771350508466,4,2007
444,Distinguish,55551030969773,3,2007
445,SuperiorCard,33338753811862,2,2005
446,Vista,11112035204232,8,2007
447,SuperiorCard,33336102961463,8,2007
448,Vista,11115686139754,12,2007
449,SuperiorCard,33335078009393,9,2006
450,SuperiorCard,33332611348318,1,2006
451,SuperiorCard,33334686765658,6,2005
452,ColonialVoice,77775083078731,8,2006
453,SuperiorCard,33338203979446,8,2007
454,Distinguish,55555043237607,12,2007
455,SuperiorCard,33332183266192,3,2006
456,Distinguish,55557142435353,6,2006
457,ColonialVoice,77777548924657,5,2005
458,Distinguish,55553370468042,8,2005
459,Distinguish,55551901555401,9,2007
460,Distinguish,55555191562983,6,2006
461,SuperiorCard,33337688484350,10,2006
462,SuperiorCard,33331674576298,6,2006
463,Vista,11119132324496,3,2008
464,SuperiorCard,33333832543745,12,2007
465,Distinguish,55552532063814,2,2005
466,SuperiorCard,33338832686616,9,2005
467,Vista,11117786482300,7,2006
468,ColonialVoice,77772148623166,10,2006
469,SuperiorCard,33338487053577,8,2006
470,Vista,11119984033310,6,2008
471,Distinguish,55557037877744,11,2005
472,ColonialVoice,77775569039939,4,2007
473,Distinguish,55559166090565,3,2007
474,SuperiorCard,33336927304298,6,2006
475,SuperiorCard,33335900275155,2,2007
476,Distinguish,55559090501662,3,2007
477,Distinguish,55552304141831,4,2007
478,Distinguish,55552693706014,7,2007
479,SuperiorCard,33334025587335,1,2008
480,Distinguish,55554367752780,8,2007
481,SuperiorCard,33332717078038,9,2007
482,Vista,11112604867030,9,2006
483,Distinguish,55551964548972,8,2007
484,SuperiorCard,33333203219095,7,2006
485,SuperiorCard,33334129214566,12,2007
486,Distinguish,55558314539187,6,2006
487,Vista,11116231720012,8,2005
488,Distinguish,55552299726560,8,2006
489,SuperiorCard,33335611789267,8,2005
490,Vista,11119066055449,11,2007
491,Vista,11111597828182,8,2007
492,Vista,11115617194142,8,2007
493,ColonialVoice,77771742408351,1,2006
494,Distinguish,55553764071525,10,2006
495,Distinguish,55554303119616,10,2008
496,ColonialVoice,77772181007129,9,2007
497,Distinguish,55554356601766,2,2007
498,SuperiorCard,33336911951207,9,2007
499,Distinguish,55555834608749,8,2008
500,ColonialVoice,77771316555965,8,2008
